drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
Tricyclic antidepressants,clonidine,effect,Moderate,4,Tricyclic antidepressants may antagonize the hypotensive effects of clonidine.
fluoxetine,sumatriptan,advise,Moderate,2,"If concomitant treatment with sumatriptan and an SSRI (e.g., fluoxetine, fluvoxamine, paroxetine, sertraline, citalopram, escitalopram) is clinically warranted, appropriate observation of the patient is advised."
Warfarin,Meclofenamate sodium,advise,Moderate,2,"Therefore, when meclofenamate sodium is given to a patient receiving warfarin, the dosage of warfarin should be reduced to prevent excessive prolongation of the prothrombin time."
antihypertensives,PROLEUKIN,effect,Moderate,1,"Although glucocorticoids have been shown to reduce PROLEUKIN-induced side effects including fever, renal insufficiency, hyperbilirubinemia, confusion, and dyspnea, concomitant administration of these agents with PROLEUKIN may reduce the antitumor effectiveness of PROLEUKIN and thus should be avoided"
Acamprosate,antidepressants,effect,Moderate,1,"Patients taking Acamprosate concomitantly with antidepressants more commonly reported both weight gain and weight loss, compared with patients taking either medication alone."
monoamine oxidase inhibitors,Starlix,effect,Moderate,1,"Certain drugs, including nonsteroidal anti-inflammatory agents (NSAIDs), salicylates, monoamine oxidase inhibitors, and non-selective beta-adrenergic-blocking agents may potentiate the hypoglycemic action of Starlix and other oral antidiabetic drugs."
azole antifungal agents,TIKOSYN,advise,Moderate,1,"Inhibitors of this isoenzyme (e.g., macrolide antibiotics, azole antifungal agents, protease inhibitors, serotonin reuptake inhibitors, amiodarone, cannabinoids, diltiazem, grapefruit juice, nefazadone, norfloxacin, quinine, zafirlukast) should be cautiously coadministered with TIKOSYN as they can p"
Estrogen,ARIMIDEX,advise,Moderate,1,Estrogen-containing therapies should not be used with ARIMIDEX as they may diminish its pharmacologic action.
Tadalafil,indinavir,advise,Moderate,1,Tadalafil dose should not exceed a maximum of 10 mg in a 72- hour period in patients receiving concomitant indinavir therapy.
INDOCIN,lithium,advise,Moderate,2,"As a consequence, when INDOCIN and lithium are given concomitantly, the patient should be carefully observed for signs of lithium toxicity."
FACTIVE,contraceptive,mechanism,High,1,"Concomitant administration of FACTIVE and calcium carbonate, cimetidine, omeprazole, or an estrogen/progesterone oral contraceptive produced minor changes in the pharmacokinetics of gemifloxacin, which were considered to be without clinical significance."
flurbiprofen,hypoglycemic agents,effect,Moderate,1,"Although there was a slight reduction in blood sugar concentrations during concomitant administration of flurbiprofen and hypoglycemic agents, there were no signs or symptoms of hypoglycemia."
EQUETROTM,theophylline,mechanism,High,2,"Agents that are CYP inducers that have been found, or are expected, to decrease plasma levels of EQUETROTM are the following: Cisplatin, doxorubicin HCL, felbamate, rifampin, phenobarbital, Phenytoin(2), primidone, methsuximide, and theophylline Thus, if a patient has been titrated to a stable dosag"
Itraconazole,quinidine,effect,Moderate,1,Tinnitus and decreased hearing have been reported in patients concomitantly receiving Itraconazole and quinidine.
ouabain,droperidol,effect,Moderate,1,"Ventricular tachycardia induced by ouabain was generally converted to sinus rhythm following administration of Innovar, ketamine, or droperidol but not after administration of fentayl alone or after pentobarbital."
ergotamine,antibiotics,effect,Moderate,1,Vasospastic reactions have been reported with therapeutic doses of ergotamine-containing drugs when co-administered with these antibiotics.
diphenidol,apomorphine,effect,Moderate,1,apomorphine - prior ingestion of diphenidol may decrease the emetic response to apomorphine in the treatment of poisoning.
tetracycline,Penthrane,effect,Moderate,1,The concurrent use of tetracycline and Penthrane (methoxyflurane) has been reported to result in fatal renal toxicity.
retinyl acetate,insulin,effect,Moderate,4,"However, retinyl acetate stimulated, but did not significantly inhibit, proliferation in the presence of insulin."
tubocurarine,Coly-Mycin M,effect,Moderate,1,"Curariform muscle relaxants (eg, tubocurarine) and other drugs, including ether, succinylcholine, gallamine, decamethonium and sodium citrate, potentiate the neuromuscular blocking effect and should be used with extreme caution in patients being treated with Coly-Mycin M Parenteral."
fluvoxamine,cisapride,advise,Moderate,1,"Consequently, it is recommended that fluvoxamine not be used in combination with either terbinafine, astemizole, or cisapride."
Etonogestrel,Kadian,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
oxytocics,dinoprost,effect,Moderate,1,"Oxytocin or other oxytocics (concurrent use with dinoprost may result in uterine hypertonus, possibly causing uterine rupture or cervical laceration, especially in the absence of adequate cervical dilatation;"
labetalol HCl,tricyclic antidepressants,effect,Moderate,1,"In one survey, 2.3% of patients taking labetalol HCl in combination with tricyclic antidepressants experienced tremor, as compared to 0.7% reported to occur with labetalol HCl alone."
SSRIs,5-HT1 agonists,effect,Moderate,3,"SSRIs: Weakness hyperreflexia, and incoordination have been reported rarely when 5-HT1 agonists have been co-administered with SSRIs (e. g."
erythromycin,dihydroergotamine,effect,Moderate,2,Concurrent use of erythromycin and ergotamine or dihydroergotamine has been associated in some patients with acute ergot toxicity characterized by severe peripheral vasospasm and dysesthesia.
tricyclic antidepressants,phenothiazines,advise,Moderate,1,"Therefore, co-administration of tricyclic antidepressants with other drugs that are metabolized by this isoenzyme, including other antidepressants, phenothiazines, carbamazepine, and Type 1C antiarrhythmics (eg, propafenone, flecainide, and encainide), or that inhibit this enzyme (eg, quinidine), sh"
interferon-alfa,PROLEUKIN,effect,Moderate,3,"Hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose PROLEUKIN and antineoplastic agents, specifically, dacarbazine, cis-platinum, tamoxifen and interferon-alfa."
diclofenac,salicylic acid,mechanism,High,1,"Protein Binding In vitro, diclofenac interferes minimally or not at all with the protein binding of salicylic acid (20% decrease in binding), tolbutamide, prednisolone (10% decrease in binding), or warfarin."
carbamazepine,escitalopram,mechanism,High,1,"Although trough citalopram plasma levels were unaffected, given the enzyme-inducing properties of carbamazepine, the possibility that carbamazepine might increase the clearance of escitalopram should be considered if the two drugs are coadministered."
Anagrelide,aspirin,effect,Moderate,1,"Anagrelide alone had no effect on platelet aggregation, but did slightly enhance the inhibition of platelet aggregation by aspirin."
steroids,adrenergic agonists,effect,Moderate,1,"Concomitant treatment with methylxanthines (aminophylline, theophylline), steroids, or diuretics may potentiate any hypokalemic effect of adrenergic agonists."
clozapine,quinidine,advise,Moderate,1,"Therefore, co-administration of clozapine with other drugs that are metabolized by this isozyme, including antidepressants, phenothiazines, carbamazepine, and Type 1C antiarrhythmics (e.g., propafenone, flecainide and encainide), or that inhibit this enzyme (e.g., quinidine), should be approached wi"
Chloral hydrate,anticoagulant,effect,Moderate,3,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;alcohol*;antacids;antihistamines;barbiturates;carbamazepine;chloral hydrate*;chlordiazepoxide;cholestyramine;diet high in vitamin K;d"
VISTIDE,vancomycin,advise,Moderate,1,"Nephrotoxic agents : Concomitant administration of VISTIDE and agents with nephrotoxic potential [e.g., intravenous aminoglycosides (e.g., tobramycin, gentamicin, and amikacin), amphotericin B, foscarnet, intravenous pentamidine, vancomycin, and non-steroidal anti-inflammatory agents] is contraindic"
isoniazid,levodopa,effect,Moderate,1,"Dopamine D2 receptor antagonists (e.g., phenothiazines, butyrophenones, risperidone) and isoniazid may reduce the therapeutic effects of levodopa."
calcium channel blockers,organic nitrates,effect,Moderate,1,Marked symptomatic orthostatic hypotension has been reported when calcium channel blockers and organic nitrates were used in combination.
Bentiromide,PABA,int,Low,1,"Bentiromide may interact with acetaminophen (e.g., Tylenol), chloramphenicol (e.g., Chloromycetin), local anesthetics (e.g., benzocaine and lidocaine), para-aminobenzoic acid (PABA)-containing preparations (e.g., sunscreens and some multivitamins), procainamide (e.g., Pronestyl), sulfonamides (sulfa"
chlorpromazine,antiparkinsonian drug,effect,Moderate,1,"The concurrent use of two or more drugs with anticholinergic activity--such as an antipsychotic drug (eg, chlorpromazine), an antiparkinsonian drug (eg, trihexyphenidyl), and/or a tricyclic antidepressant (eg, amitriptyline)--commonly results in excessive anticholinergic effects, including dry mouth"
dobutamine,nitroprusside,effect,Moderate,1,"Preliminary studies indicate that the concomitant use of dobutamine and nitroprusside results in a higher cardiac output and, usually, a lower pulmonary wedge pressure than when either drug is used alone."
thiazides,Starlix,effect,Moderate,1,"Certain drugs including thiazides, corticosteroids, thyroid products, and sympathomimetics may reduce the hypoglycemic action of Starlix and other oral antidiabetic drugs."
Quinolones,anticoagulants,effect,Moderate,2,"Quinolones, including cinoxacin, may enhance the effects of oral anticoagulants, such as warfarin or its derivatives."
digoxin,FLOLAN,mechanism,High,2,"However, patients on digoxin may show elevations of digoxin concentrations after initiation of therapy with FLOLAN, which may be clinically significant in patients prone to digoxin toxicity."
famotidine,dasatinib,effect,Moderate,1,"H2 Blockers/Proton Pump Inhibitors: Long-term suppression of gastric acid secretion by H2 blockers or proton pump inhibitors (eg, famotidine and omeprazole) is likely to reduce dasatinib exposure."
Aspirin,nonsteroidal anti-inflammatory,advise,Moderate,1,Nonsteroidal Antiinflammatory Agents: Aspirin is contraindicated in patients who are hypersensitive to nonsteroidal anti-inflammatory agents.
teniposide,TAXOL,advise,Moderate,1,"Hypersensitivity Reactions: Patients with a history of severe hypersensitivity reactions to products containing Cremophor  EL (eg, cyclosporin for injection concentrate and teniposide for injection concentrate) should not be treated with TAXOL."
trovafloxacin,opiate,mechanism,High,1,Previous studies have demonstrated a significant reduction in the oral bioavailability of trovafloxacin and ciprofloxacin when administered concomitantly with an intravenous opiate such as morphine.
nonsteroidal anti-inflammatory drugs,methotrexate,mechanism,High,3,Nonsteroidal anti-inflammatory drugs have been reported to decrease the tubular secretion of methotrexate and to potentiate its toxicity.
apomorphine,alosetron,advise,Moderate,1,"5HT3 Antagonists: Based on reports of profound hypotension and loss of consciousness when apomorphine was administered with ondansetron, the concomitant use of apomorphine with drugs of the 5HT3 antagonist class (including, for example, ondansetron, granisetron, dolasetron, palonosetron, and alosetr"
REVIA,opioid,effect,Moderate,2,"In an emergency situation when opioid analgesia must be administered to a patient receiving REVIA, the amount of opioid required may be greater than usual, and the resulting respiratory depression may be deeper and more prolonged."
anakinra,HUMIRA,effect,Moderate,1,"Therefore the, combination of anakinra with other TNF-blocking agents, including HUMIRA, may also result i n similar toxicities."
fluconazole,glipizide,mechanism,High,2,The mean percentage increase in the glipizide AUC after fluconazole administration was 56.9% (range: 35 to 81).
anticoagulant,naproxen,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
INH,ketoconazole,mechanism,High,1,INH (Isoniazid) is also reported to affect ketoconazole concentrations adversely.
anticoagulant,warfarin sodium,effect,Moderate,2,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
thyroid products,Starlix,effect,Moderate,1,"Certain drugs including thiazides, corticosteroids, thyroid products, and sympathomimetics may reduce the hypoglycemic action of Starlix and other oral antidiabetic drugs."
Chlorotrianisene,barbiturates,int,Low,1,"Chlorotrianisene may interact with antidepressants, aspirin, barbiturates, bromocriptine, calcium supplements, corticosteroids, corticotropin, cyclosporine, dantrolene, nicotine, somatropin, tamoxifen, and warfarin."
Mefloquine,calcium channel blockers,effect,Moderate,1,"This appears to be the only clinically relevant interaction of this kind with Mefloquine, although theoretically, coadministration of other drugs known to alter cardiac conduction (eg, anti-arrhythmic or beta-adrenergic blocking agents, calcium channel blockers, antihistamines or H1-blocking agents,"
TORADOL,thiothixene,effect,Moderate,1,"Psychoactive Drugs: Hallucinations have been reported when TORADOL was used in patients taking psychoactive drugs (fluoxetine, thiothixene, alprazolam)."
beta-adrenoceptor blocking agents,INDOCIN,effect,Moderate,1,Blunting of the antihypertensive effect of beta-adrenoceptor blocking agents by non-steroidal antiinflammatory drugs including INDOCIN has been reported.
anticoagulant,Tagamet,advise,Moderate,1,"therefore, close monitoring of prothrombin time is recommended, and adjustment of the anticoagulant dose may be necessary when Tagamet is administered concomitantly."
alcohol,vitamin B12,mechanism,High,1,Colchicine para-aminosalicylic acid and heavy alcohol intake for longer than 2 weeks may produce malabsorption of vitamin B12.
alprazolam,paroxetine,int,Low,1,Data from in vitro studies of alprazolam suggest a possible drug interaction with alprazolam for the following: sertraline and paroxetine.
benzodiazepines,alcohol,effect,Moderate,2,"The action of the benzodiazepines may be potentiated by anticonvulsants, antihistamines, alcohol, barbiturates, monoamine oxidase inhibitors, narcotics, phenothiazines, psychotropic medications, or other drugs that produce CNS depression."
L-glutamine,indomethacin,effect,Moderate,1,Indomethacin - Concomitant use of L-glutamine and indomethacin may ameliorate increased intestinal permeability caused by indomethacin.
EQUETROTM,propoxyphene,mechanism,High,1,"Agents that are CYP3A4 inhibitors that have been found, or are expected, to increase plasma levels of EQUETROTM are the following: Acetazolamide, azole antifungals, cimetidine, clarithromycin(1), dalfopristin, danazol, delavirdine, diltiazem, erythromycin(1), fluoxetine, fluvoxamine, grapefruit juic"
anticholinergic,antipsychotics,effect,Moderate,1,"Drug Interactions: The central anticholinergic syndrome can occur when anticholinergic agents such as AKINETON are administered concomitantly with drugs that have secondary anticholinergic actions, e.g., certain narcotic analgesics such as meperidine, the phenothiazines and other antipsychotics, tri"
nondepolarizing agents,lincomycin,effect,Moderate,2,"Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as NIMBEX include certain antibiotics (e. g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistemethate), magnesium salts, lithium, local anesthet"
doxorubicin,PROLEUKIN,effect,Moderate,1,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems."
STRATTERA,paroxetine,advise,Moderate,1,"Dosage adjustment of STRATTERA may be necessary when coadministered with CYP2D6 inhibitors, e.g., paroxetine, fluoxetine, and quinidine."
quinolone,VIDEX,mechanism,High,1,"Multivalent Cation-Containing Products: Concurrent administration of a quinolone, including ciprofloxacin, with multivalent cation-containing products such as magnesium or aluminum antacids, sucralfate, VIDEX chewable/buffered tablets or pediatric powder, or products containing calcium, iron, or zin"
SPRYCEL,ritonavir,mechanism,High,1,"Concomitant use of SPRYCEL and drugs that inhibit CYP3A4 (eg, ketoconazole, itraconazole, erythromycin, clarithromycin, ritonavir, atazanavir, indinavir, nefazodone, nelfinavir, saquinavir, telithromycin) may increase exposure to dasatinib and should be avoided."
MAO inhibitor,escitalopram,advise,Moderate,1,Wait 2 weeks after stopping an MAO inhibitor before starting escitalopram.
PEGANONE,Phenurone,advise,Moderate,1,Considerable caution should be exercised if PEGANONE is administered concurrently with Phenurone (phenacemide) since paranoid symptoms have been reported during therapy with this combination.
CANCIDAS,cyclosporine,effect,Moderate,1,There were transient increases in liver ALT and AST when CANCIDAS and cyclosporine were co-administered.
antihypertensive drugs,hydralazine,effect,Moderate,1,"When other potent parental antihypertensive drugs, such as diazoxide, are used in combination with hydralazine, patients should be continuously observed for several hours for any excessive fall in blood pressure."
salicylates,corticosteroids,mechanism,High,1,The clearance of salicylates may be increased with concurrent use of corticosteroids.
digoxin,aminosalicylic acid,mechanism,High,2,"Aminosalicylic acid may decrease the amount of digoxin (Lanoxin, Lanoxicaps) that gets absorbed into your body."
hormonal contraceptives,clofibric acid,mechanism,High,1,Clofibric acid: Combination hormonal contraceptives may increase the clearance of clofibric acid.
calcium blockers,digitalis preparations,mechanism,High,1,Digoxin: Some calcium blockers may increase the concentration of digitalis preparations in the blood.
ENABLEX,thioridazine,advise,Moderate,1,"Caution should be taken when ENABLEX is used concomitantly with medications that are predominantly metabolized by CYP2D6 and which have a narrow therapeutic window, such as flecainide, thioridazine and tricyclic antidepressants (see CLINICAL PHARMACOLOGY)."
Benzthiazide,blood thinner,int,Low,1,"Benzthiazide may interact with alcohol, blood thinners, decongestant drugs (allergy, cold, and sinus medicines), diabetic drugs, lithium, norepinephrine, NSAIDs like Aleve or Ibuprofen, and high blood pressure medications."
alprazolam,cyclosporine,int,Low,1,"Data from in vitro studies of benzodiazepines other than alprazolam suggest a possible drug interaction for the following: ergotamine, cyclosporine, amiodarone, nicardipine, and nifedipine."
FACTIVE,progesterone,mechanism,High,1,"Concomitant administration of FACTIVE and calcium carbonate, cimetidine, omeprazole, or an estrogen/progesterone oral contraceptive produced minor changes in the pharmacokinetics of gemifloxacin, which were considered to be without clinical significance."
selegiline hydrochloride,serotoninergic agents,effect,Moderate,1,"In patients receiving nonselective monoamine oxidase inhibitors (MAOIs) (e.g., selegiline hydrochloride) in combination with serotoninergic agents (e.g., fluoxetine, fluvoxamine, paroxetine, sertraline, venlafaxine), there have been reports of serious, sometimes fatal, reactions."
progesterone,Accutane,effect,Moderate,1,Micro-dosed Progesterone Preparations: Micro-dosed progesterone preparations (minipills that do not contain an estrogen) may be an inadequate method of contraception during Accutane therapy.
Butalbital,alcohol,effect,Moderate,1,"Butalbital, acetaminophen and caffeine may enhance the effects of: other narcotic analgesics, alcohol, general anesthetics, tranquilizers such as chlordiazepoxide, sedative-hypnotics, or other CNS depressants, causing increased CNS depression."
insulin,Bezalip retard,effect,Moderate,1,- The action of sulphonylureas and insulin may be enhanced by Bezalip or Bezalip retard.
Etonogestrel,antifungals,int,Low,1,"Etonogestrel may interact with the following medications: acetaminophen (Tylenol), antibiotics such as ampicillin and tetracycline, anticonvulsants (Dilantin, Phenobarbital, Tegretol, Trileptal, Topamax, Felbatol), antifungals (Gris-PEG, Nizoral, Sporanox), atorvastatin (Lipitor), clofibrate (Atromi"
aminophylline,adrenergic agonists,effect,Moderate,1,"Concomitant treatment with methylxanthines (aminophylline, theophylline), steroids, or diuretics may potentiate any hypokalemic effect of adrenergic agonists."
TARCEVA,TAO,advise,Moderate,1,"Caution should be used when administering or taking TARCEVA with ketoconazole and other strong CYP3A4 inhibitors such as, but not limited to, atazanavir, clarithromycin, indinavir, itraconazole, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, troleandomycin (TAO), and voriconazole ."
VIRACEPT,terfenadine,advise,Moderate,2,"Drugs That Should Not Be Coadministered With VIRACEPT Antiarrhythmics: amiodarone, quinidine Antihistamines: astemizole, terfenadine Antimigraine: ergot derivatives Antimycobacterial agents: rifampin Benzodiazepines midazolam, triazolam GI motility agents: cisapride"
codeine,alcohol,effect,Moderate,2,"Codeine in combination with other narcotic analgesics, general anesthetics, phenothiazines, tranquilizers, sedative-hypnotics, or other CNS depressants (including alcohol) has additive depressant effects."
zafirlukast,TIKOSYN,advise,Moderate,1,"Inhibitors of this isoenzyme (e.g., macrolide antibiotics, azole antifungal agents, protease inhibitors, serotonin reuptake inhibitors, amiodarone, cannabinoids, diltiazem, grapefruit juice, nefazadone, norfloxacin, quinine, zafirlukast) should be cautiously coadministered with TIKOSYN as they can p"
phenobarbital,efavirenz,mechanism,High,1,"Drugs which induce CYP3A4 activity (eg, phenobarbital, rifampin, rifabutin) would be expected to increase the clearance of efavirenz resulting in lowered plasma concentrations."
live-attenuated vaccines,RAPTIVA,advise,Moderate,1,"Acellular, live and live-attenuated vaccines should not be administered during RAPTIVA treatment."
etanercept,anakinra,effect,Moderate,1,"Concurrent administration of etanercept (another TNF -blocking agent) and anakinra (an interleukin-1 antagonist) has been associated with an increased risk of serious infections, and increased risk of neutropenia and no additional benefit compared to these medicinal products alone."
glucocorticoids,EGF,effect,Moderate,1,"These results suggest that both dexamethasone and retinyl acetate, and possibly other glucocorticoids and retinoids, may regulate the proliferation of prostate epithelium by a dose-dependent modification of the activity of insulin and EGF."
cerivastatin,erythromycin,mechanism,High,1,"ERYTHROMYCIN: In hypercholesterolemic patients, steady-state cerivastatin AUC and Cmax increased approximately 50% and 24% respectively after 10 days with co-administration of erythromycin, a known inhibitor of cytochrome P450 3A4."
indomethacin,PROLEUKIN,effect,Moderate,1,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems."
docetaxel,cyclosporine,mechanism,High,1,"In vitro studies have shown that the metabolism of docetaxel may be modified by the concomitant administration of compounds that induce, inhibit, or are metabolized by cytochrome P450 3A4, such as cyclosporine, terfenadine, ketoconazole, erythromycin, and troleandomycin."
MAO-inhibitors,Bezalip,advise,Moderate,1,- Perhexiline hydrogen maleate or MAO-inhibitors (with hepatotoxic potential) must not be administered together with Bezalip or Bezalip retard.
anticoagulant,adrenocortical steroids,effect,Moderate,2,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;alcohol*;antacids;antihistamines;barbiturates;carbamazepine;chloral hydrate*;chlordiazepoxide;cholestyramine;diet high in vitamin K;d"
BETAGAN,epinephrine,effect,Moderate,1,"Although BETAGAN used alone has little or no effect on pupil size, mydriasis resulting from concomitant therapy with BETAGAN and epinephrine may occur."
tetracyclines,contraceptives,effect,Moderate,2,Concurrent use of tetracyclines with oral contraceptives may render oral contraceptives less effective.
anticoagulant,ethchlorvynol,effect,Moderate,1,"Drugs that have been reported to diminish oral anticoagulant response, ie, decreased prothrom-bin time response, in man significantly include: adrenocortical steroids;alcohol*;antacids;antihistamines;barbiturates;carbamazepine;chloral hydrate*;chlordiazepoxide;cholestyramine;diet high in vitamin K;d"
Mefloquine,beta-adrenergic blocking agents,effect,Moderate,1,"This appears to be the only clinically relevant interaction of this kind with Mefloquine, although theoretically, coadministration of other drugs known to alter cardiac conduction (eg, anti-arrhythmic or beta-adrenergic blocking agents, calcium channel blockers, antihistamines or H1-blocking agents,"
almotriptan,ketoconazole,mechanism,High,1,Coadministration of almotriptan and the potent CYP3A4 inhibitor ketoconazole (400 mg q.d. for 3 days) resulted in an approximately 60% increase in the area under the plasma concentration-time curve and maximal plasma concentrations of almotriptan.
clarithromycin,cisapride,mechanism,High,1,"Antibiotics: In vitro and/or in vivo data show that clarithromycin, erythromycin, and troleandomycin markedly inhibit the metabolism of cisapride, which can result in an increase in plasma cisapride levels and prolongation of the QT interval on the ECG."
SPRYCEL,nelfinavir,mechanism,High,1,"Concomitant use of SPRYCEL and drugs that inhibit CYP3A4 (eg, ketoconazole, itraconazole, erythromycin, clarithromycin, ritonavir, atazanavir, indinavir, nefazodone, nelfinavir, saquinavir, telithromycin) may increase exposure to dasatinib and should be avoided."
H2 blockers,dasatinib,effect,Moderate,1,"H2 Blockers/Proton Pump Inhibitors: Long-term suppression of gastric acid secretion by H2 blockers or proton pump inhibitors (eg, famotidine and omeprazole) is likely to reduce dasatinib exposure."
ALFENTA,barbiturates,effect,Moderate,1,"Both the magnitude and duration of central nervous system and cardiovascular effects may be enhanced when ALFENTA is administered in combination with other CNS depressants such as barbiturates, tranquilizers, opioids, or inhalation general anesthetics."
lorazepam,barbiturates,effect,Moderate,2,"Injection: Lorazepam injection, like other injectable benzodiazepines, produces depression of the central nervous system when administered with ethyl alcohol, phenothiazines, barbiturates, MAO inhibitors, and other antidepressants.When scopolamine is used concomitantly with injectable lorazepam, an "
levothyroxine sodium,phenylbutazone,mechanism,High,1,"Binding to Serum Proteins: The following agents may either inhibit levothyroxine sodium binding to serum proteins or alter the concentrations of serum binding proteins: androgens and related anabolic hormones, asparaginase, clofibrate, estrogens and estrogen-containing compounds, 5-fluorouracil, fur"
Haloperidol,amphetamines,effect,Moderate,2,"Haloperidol: Haloperidol blocks dopamine receptors, thus inhibiting the central stimulant effects of amphetamines."
serotonin reuptake inhibitor drug,MAOI,effect,Moderate,1,"In patients receiving another serotonin reuptake inhibitor drug in combination with monoamine oxidase inhibitors (MAOI), there have been reports of serious, sometimes fatal, reactions including hyperthermia, rigidity, myoclonus, autonomic instability with possible rapid fluctuations of vital signs, "
IOPIDINE,opiates,advise,Moderate,1,"Although no specific drug interactions with topical glaucoma drugs or systemic medications were identified in clinical studies of IOPIDINE 0.5% Ophthalmic Solution, the possibility of an additive or potentiating effect with CNS depressants (alcohol, barbiturates, opiates, sedatives, anesthetics) sho"
hydantoin antiepileptic,coumarin anticoagulant,int,Low,1,"A two-way interaction between the hydantoin antiepileptic, phenytoin, and the coumarin anticoagulants has been suggested."
decamethonium,Coly-Mycin M,effect,Moderate,1,"Curariform muscle relaxants (eg, tubocurarine) and other drugs, including ether, succinylcholine, gallamine, decamethonium and sodium citrate, potentiate the neuromuscular blocking effect and should be used with extreme caution in patients being treated with Coly-Mycin M Parenteral."
trazodone hydrochloride,buspirone HCl,effect,Moderate,1,There is one report suggesting that the concomitant use of trazodone hydrochloride (Desyrel) and buspirone HCl may have caused 3- to 6-fold elevations on SGPT (ALT) in a few patients.
CASODEX,coumarin anticoagulant,mechanism,High,1,"In vitro studies have shown CASODEX can displace coumarin anticoagulants, such as warfarin, from their protein-binding sites."
EQUETROTM,mirtazapine,mechanism,High,1,"Agents that have been found, or are expected to have decreased plasma levels in the presence of EQUETROTM due to induction of CYP enzymes are the following: Acetaminophen, alprazolam, amitriptyline, bupropion, buspirone, citalopram, clobazam, clonazepam, clozapine, cyclosporin, delavirdine, desipram"
anticoagulants,lovastatin,advise,Moderate,1,"It is recommended that in patients taking anticoagulants, prothrombin time be determined before starting lovastatin and frequently enough during early therapy to insure that no significant alteration of prothrombin time occurs."
CNS depressant drugs,INAPSINE,advise,Moderate,2,"Following the administration of INAPSINE, the dose of other CNS depressant drugs should be reduced."
AKINETON,quinidine,effect,Moderate,1,"Drug Interactions: The central anticholinergic syndrome can occur when anticholinergic agents such as AKINETON are administered concomitantly with drugs that have secondary anticholinergic actions, e.g., certain narcotic analgesics such as meperidine, the phenothiazines and other antipsychotics, tri"
phenytoin,rifampin,effect,Moderate,1,"- Drugs whose efficacy is impaired by phenytoin include: anticoagulants, corticosteroids, coumarin, digitoxin, doxycycline, estrogens, furosemide, oral contraceptives, rifampin, quinidine, theophylline, vitamin D."
HALDOL,CNS depressants,effect,Moderate,1,"As with other antipsychotic agents, it should be noted that HALDOL may be capable of potentiating CNS depressants such as anesthetics, opiates, and alcohol."
clozapine,psychotropic drug,advise,Moderate,1,"Although it has not been established that there is an interaction between Clozapine and benzodiazepines or other psychotropics, caution is advised when clozapine is initiated in patients taking a benzodiazepine or any other psychotropic drug."
Epinephrine,glycosides,advise,Moderate,1,"Epinephrine also should be used cautiously with other drugs (e.g., digitalis, glycosides) that sensitize the myocardium to the actions of sympathomimetic drugs."
androgens,insulin,effect,Moderate,2,"In diabetic patients, the metabolic effects of androgens may decrease blood glucose and therefore, insulin requirements."
nitrous oxide,NIMBEX,effect,Moderate,2,Isoflurane or enflurane administered with nitrous oxide/oxygen to achieve 1.25 MAC [Minimum Alveolar Concentration] may prolong the clinically effective duration of action of initial and maintenance doses of NIMBEX and decrease the required infusion rate of NIMBEX.
adrenaline,FLUOTHANE,advise,Moderate,1,Caution should be exercised during the administration of adrenaline to patients anaesthetised with FLUOTHANE as arrhythmias may be precipitated.
ZYVOX,SSRIs,effect,Moderate,1,"Spontaneous reports of serotonin syndrome associated with co-administration of ZYVOX and serotonergic agents, including antidepressants such as selective serotonin reuptake inhibitors (SSRIs), have been reported."
